"response.keys" "response.rt" "is_valid" "participant" "dominant_hand" "age" "gender" "target_x" "target_y" "hand_x" "movement_y"
"193" "down" 0.418 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"194" "down" 0.498 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"195" "up" 0.485 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"196" "down" 0.386 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"197" "right" 0.395 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"198" "up" 0.328 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"199" "down" 0.304 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"200" "down" 0.312 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"201" "up" 0.405 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"202" "up" 0.42 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"203" "down" 0.315 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"204" "down" 0.364 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"205" "up" 0.536 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"206" "left" 0.414 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"207" "up" 0.401 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"208" "up" 0.386 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"209" "down" 0.484 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"210" "up" 0.401 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"211" "left" 0.398 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"212" "up" 0.547 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"213" "right" 0.519 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"214" "up" 0.508 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"215" "right" 0.446 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"216" "down" 0.315 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"217" "right" 0.615 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"218" "right" 0.566 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"219" "up" 0.429 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"220" "left" 0.452 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"221" "left" 0.485 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"222" "down" 0.315 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"223" "left" 0.346 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"224" "left" 0.36 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"225" "up" 0.531 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"226" "left" 0.45 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"227" "down" 0.328 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"228" "up" 0.495 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"229" "left" 0.327 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"230" "down" 0.334 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"231" "right" 0.334 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"232" "up" 0.488 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
